ID,Category,Title,Severity,File,Evidence,Impact,Recommendation,Estimated Effort,Confidence
DB-02,Database,Supabase types not regenerated for new tables,HIGH,types/supabase.types.ts,"Tables research_requests user_plans reports not in generated types","All supabase queries to new tables use as any bypassing type safety","Run: supabase gen types typescript --project-id [id] > types/supabase.types.ts",2 hours,CONFIRMED
DB-03,Database,No formal migration tooling,MEDIUM,supabase/*.sql,"Manual SQL scripts with no Supabase CLI migration history","No rollback capability; no migration state tracking; risk of re-applying non-idempotent migrations","Adopt Supabase CLI migrations (supabase db push)",1 week,CONFIRMED
FRONT-01,Frontend,i18n plugin configured but not implemented,LOW,"next.config.ts:4, i18n/request.ts","next-intl wired up; no message files found; real-estate page uses state-based lang toggle instead","Bilingual implementation is ad-hoc and inconsistent","Either implement next-intl fully with message files or remove plugin and standardize on current approach",2 weeks,CONFIRMED
FRONT-02,Frontend,dangerouslySetInnerHTML used for emoji strings,LOW,app/dashboard/real-estate/page.tsx:889,"dangerouslySetInnerHTML={{ __html: swotItem }}","Bypasses React XSS protection for that node; safe if content is controlled but creates maintenance risk","Replace with React component rendering; avoid dangerouslySetInnerHTML",2 hours,CONFIRMED
FRONT-03,Frontend,Placeholder pages have no content,MEDIUM,"app/dashboard/onboarding, settings, analytics, market-intelligence","Page files exist but return empty or minimal content","Users clicking nav items see empty pages — poor UX","Either implement pages or hide nav links pointing to empty pages",1 week per page,CONFIRMED
FRONT-04,Frontend,City list duplicated between real-estate page and core/data/cities.data.ts,LOW,"app/dashboard/real-estate/page.tsx, core/data/cities.data.ts","Two separate city lists defined","City set can diverge between modules","Import from core/data/cities.data.ts in real-estate page",30 min,CONFIRMED
TEST-01,Testing,calculateCashflow has zero test coverage,CRITICAL,app/api/intelligence/route.ts:81–198,"No test file for calculateCashflow; function is 117 lines of financial logic","A regression produces incorrect financial advice with no automated detection","Add vitest unit tests for calculateCashflow with known input→output pairs",1 day,CONFIRMED
TEST-02,Testing,No CI to run existing tests,HIGH,".github/ (does not exist)","No GitHub Actions workflows","Tests never run automatically — passing tests in local development provides no guarantee","Add GitHub Actions CI workflow running lint typecheck and vitest",1 day,CONFIRMED
TEST-03,Testing,Intelligence route has 0% API-level test coverage,HIGH,app/api/intelligence/route.ts,"No route test file for 1051-line primary revenue-generating endpoint","Breaking changes to primary monetizable feature are undetected","Add route-level tests with mocked OpenAI responses",1 week,CONFIRMED
TEST-04,Testing,No E2E tests,MEDIUM,"","No Playwright or Cypress configuration found","Auth flows report generation and export are fully untested at integration level","Add Playwright E2E for critical flows: login generate report export CSV",1 week,CONFIRMED
DEVOPS-01,DevOps,No CI/CD pipeline,HIGH,".github/ (does not exist)","No workflow files","Every commit deploys directly to production with no automated checks","Add GitHub Actions with lint + typecheck + test + Vercel preview deploy",1 day,CONFIRMED
DEVOPS-02,DevOps,No staging environment,HIGH,vercel.json,"Single Vercel project with no preview environment separation","Development changes go directly to production","Create staging Supabase project + Vercel preview deployment environment",1 day,CONFIRMED
DEVOPS-03,DevOps,No monitoring or observability,HIGH,"","No logging service; no error tracking; no metrics","Production errors are invisible unless Vercel log is manually checked","Add Axiom or BetterStack for structured logging and alerting",1 week,CONFIRMED
DEVOPS-04,DevOps,No branch protection on main,MEDIUM,GitHub,"No observed GitHub branch protection rules","A broken commit deploys to production immediately","Set branch protection: require PR review + CI pass before merge to main",30 min,CONFIRMED
DEVOPS-05,DevOps,eslint-config-next pinned to 15 while Next.js is 16,LOW,package.json:54,"eslint-config-next: 15.3.0","Lint rules may not cover Next.js 16-specific patterns","Update to eslint-config-next 16.x",30 min,CONFIRMED
DEVOPS-06,DevOps,Vercel CLI outdated,LOW,".vercel/","vercel 54.6.1; latest is 54.20.1","May miss recent Vercel features and bug fixes","npm i -g vercel@latest",5 min,CONFIRMED
BIZ-01,Business,No payment integration,CRITICAL,"","No Stripe Paddle or LemonSqueezy code found anywhere in codebase","Platform cannot charge customers — revenue is $0","Integrate Stripe with subscription billing and plan webhook",3 weeks,CONFIRMED
BIZ-02,Business,Plan assignment is fully manual,HIGH,supabase/plan-enforcement.sql,"INSERT/UPDATE only via service role; no authenticated user policy","Cannot scale; every signup requires a manual SQL insert for plan assignment","Add billing webhook to auto-assign plan on payment",1 week,CONFIRMED
BIZ-03,Business,No privacy policy or terms of service,HIGH,"","No legal pages found in app/","Cannot legally operate a commercial SaaS product without privacy policy","Draft and publish privacy policy terms of service and data processing agreement",1 week (legal),CONFIRMED
BIZ-04,Business,No customer support mechanism,HIGH,"","No help chat no support email visible in UI no ticketing system","Paying customers have no support path","Add Intercom or Crisp chat widget; create support@eunoia email",1 day,CONFIRMED
BIZ-05,Business,No onboarding flow,MEDIUM,app/dashboard/onboarding/,"Onboarding page exists but has no content","New users arrive at dashboard with no guidance — high churn risk","Create 3-step onboarding: connect profile → run first report → upgrade",1 week,CONFIRMED
BIZ-06,Business,RE market benchmarks are hardcoded and will go stale,MEDIUM,app/api/intelligence/route.ts,"City price data hardcoded in TypeScript constants with 2026 values","Reports become inaccurate as Egypt RE market changes — credibility risk for paying customers","Move benchmarks to configurable CMS or database table with admin update UI",2 weeks,CONFIRMED
BIZ-07,Business,No analytics — usage and business metrics invisible,HIGH,"","No analytics integration (Mixpanel Posthog Amplitude) found","Cannot track conversion retention or feature adoption — flying blind","Add Posthog for product analytics (open source friendly)",1 week,CONFIRMED
BIZ-08,Business,Resend declared but unused — no transactional email,MEDIUM,package.json,"resend in dependencies; zero imports","No welcome email no password reset email no plan limit warning email","Implement transactional email using already-installed Resend package",1 week,CONFIRMED
DEBT-01,Tech Debt,Duplicate prisma generate on build,LOW,package.json + vercel.json,"postinstall runs prisma generate AND vercel.json buildCommand also runs it","Wastes ~15 seconds on every Vercel build","Remove postinstall from package.json",5 min,CONFIRMED
DEBT-02,Tech Debt,Unused dependencies declared,LOW,package.json,"resend installed but never imported; @upstash/ratelimit installed but manual rate limiter used","Increases bundle size and dependency attack surface","Remove resend (add back when implemented); use @upstash/ratelimit instead of manual",1 hour,CONFIRMED
DEBT-03,Tech Debt,Repository root cluttered with 25 markdown docs and legacy files,MEDIUM,"","api.php auth.php text.txt files; 25 audit markdown docs at root","Confusing to contributors and investors doing diligence; some files are from PHP-era predecessor","Move docs to /docs; delete legacy PHP and text files after verification",1 day,CONFIRMED
DEBT-04,Tech Debt,Legacy AI engine prompts not removed,HIGH,services/legacy-ai-engine/,"~40 files; orchestrator and 26 prompt files are dead code","TypeScript compiles them; they mislead contributors; adds build time","Delete all files except providers/openai.provider.ts and providers/base.provider.ts; move providers to lib/ai/",1 day,CONFIRMED
DEBT-05,Tech Debt,next-intl plugin configured but no message files exist,LOW,next.config.ts,"Plugin wired up; no messages/ directory found","Runtime error if next-intl is called without messages configured","Either implement fully or remove plugin from next.config.ts",2 weeks (full) or 30 min (remove),CONFIRMED
